Step,TimeStamp,AvgEnergy,AverageEnergy_5th,AverageEnergy_95th,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
74,4439.855,390.3476,390.3388,390.3773,25,1,449.9738,0.4564421,0.8346128
75,4499.855,390.4329,390.4238,390.4632,25,1,449.985,0.4659212,0.8958997
76,4559.855,390.5191,390.5096,390.548,25,1,449.9749,0.478068,1.138031
77,4619.855,390.6053,390.594,390.6357,25,1,449.9639,0.4824621,0.7933624
78,4679.855,390.6902,390.6786,390.7201,25,1,449.9843,0.4565414,0.9535753
79,4739.855,390.7762,390.7629,390.8071,25,1,449.9787,0.4868637,0.6500108
80,4799.855,390.8616,390.8473,390.894,25,1,449.9872,0.4753647,0.6543484
81,4859.855,390.9473,390.9316,390.9791,25,1,449.9895,0.4678012,0.9395316
82,4919.855,391.033,391.0159,391.0652,25,1,449.992,0.3894254,1.07445
83,4979.855,391.1184,391.1008,391.1496,25,1,450.0005,0.477931,0.5403762
84,5039.855,391.2038,391.1861,391.234,25,1,450.0088,0.4858976,0.9789213
85,5099.855,391.2904,391.2732,391.3193,25,1,449.9874,0.4806948,0.894824
86,5159.855,391.3754,391.3596,391.4043,25,1,450.0071,0.450018,0.5046696
87,5219.855,391.4611,391.446,391.4899,25,1,450.0095,0.4685649,0.9908088
88,5279.855,391.5467,391.5303,391.5747,25,1,450.0132,0.4825473,0.952722
89,5339.855,391.6325,391.6169,391.6607,25,1,450.0118,0.481157,0.9308265
90,5399.855,391.7181,391.7043,391.7449,25,1,450.0149,0.4897255,0.9763076
91,5459.855,391.8039,391.7899,391.8306,25,1,450.0144,0.4716085,0.9514912
92,5519.855,391.8889,391.8755,391.9167,25,1,450.0352,0.4834156,0.6563945
93,5579.855,391.9744,391.9605,392.0028,25,1,450.0413,0.4380773,0.4529889
94,5639.855,392.0603,392.0463,392.0887,25,1,450.0372,0.4867496,0.6518096
95,5699.856,392.146,392.131,392.1751,25,1,450.0392,0.4694892,0.7935443
96,5759.855,392.2313,392.2169,392.2602,25,1,450.0521,0.4717673,0.6525055
97,5819.855,392.317,392.303,392.3471,25,1,450.0532,0.4596198,0.9124579
98,5879.855,392.4035,392.388,392.4326,25,1,450.0349,0.4983765,0.7840756
99,5939.855,392.4889,392.4729,392.5176,25,1,450.0436,0.4245646,0.8720262
100,5999.855,392.5745,392.5595,392.6028,25,1,450.0478,0.4237991,0.8326185
101,6059.855,392.6604,392.646,392.6903,25,1,450.0447,0.4609557,0.7845297
102,6119.855,392.7455,392.7321,392.7752,25,1,450.0615,0.4579396,0.6075863
103,6179.855,392.8312,392.8173,392.8597,25,1,450.0626,0.4751172,0.388519
104,6239.855,392.9174,392.9041,392.9445,25,1,450.051,0.4844871,0.8076491
105,6299.855,393.0031,392.9907,393.0286,25,1,450.0531,0.4822631,0.7853799
106,6359.855,393.089,393.0772,393.1137,25,1,450.0507,0.4815202,0.8763286
107,6419.855,393.175,393.1618,393.1997,25,1,450.0423,0.441707,0.9359528
108,6479.855,393.2601,393.2457,393.2866,25,1,450.0593,0.4729484,1.075777
109,6539.855,393.3465,393.333,393.3725,25,1,450.0446,0.4912241,0.6675241
110,6599.855,393.4319,393.4196,393.4588,25,1,450.0522,0.4778802,0.8059305
111,6659.855,393.5169,393.5046,393.5429,25,1,450.071,0.4666728,0.8012874
112,6719.855,393.6022,393.5899,393.6277,25,1,450.0829,0.3854969,1.053055
113,6779.855,393.6879,393.6758,393.7133,25,1,450.0866,0.4832553,0.8109992
114,6839.855,393.7744,393.7621,393.7996,25,1,450.0674,0.4653872,0.8817915
115,6899.855,393.8599,393.8481,393.884,25,1,450.0733,0.4690541,0.8101862
116,6960.008,393.9458,393.9328,393.9694,25,1,450.0709,0.4946126,0.576761
117,7020.008,394.0316,394.0188,394.0551,25,1,450.0704,0.4858693,0.7399502
118,7080.008,394.1171,394.1032,394.1401,25,1,450.076,0.4687842,0.8336921
119,7140.008,394.2026,394.1889,394.2271,25,1,450.0815,0.450853,0.6616556
120,7200.008,394.2886,394.2736,394.3123,25,1,450.0754,0.4947306,0.5682517
121,7260.008,394.3748,394.3605,394.3981,25,1,450.0648,0.4284494,0.6135227
122,7320.008,394.4607,394.4458,394.4857,25,1,450.0635,0.4484916,0.7056345
123,7380.008,394.5467,394.5331,394.5726,25,1,450.0576,0.4859006,0.4713462
124,7440.008,394.6318,394.6182,394.6547,25,1,450.0732,0.4740852,0.3211415
125,7500.008,394.7176,394.7047,394.7402,25,1,450.0715,0.3941927,0.8805155
126,7560.008,394.8033,394.7913,394.8277,25,1,450.0745,0.4648298,0.5074076
127,7620.008,394.8893,394.8765,394.9141,25,1,450.0692,0.469589,0.8763957
128,7680.008,394.9756,394.9624,395.0009,25,1,450.0539,0.4649923,1.157458
129,7740.008,395.0616,395.0481,395.0882,25,1,450.0475,0.4096808,0.9704495
130,7800.008,395.1475,395.1326,395.1727,25,1,450.0452,0.451264,0.9566615
131,7860.008,395.2326,395.2204,395.257,25,1,450.062,0.3795779,0.6985529
132,7920.008,395.3183,395.3061,395.3416,25,1,450.0626,0.4953005,0.6891258
133,7980.008,395.4041,395.3921,395.4279,25,1,450.0616,0.4834338,0.7455205
134,8040.008,395.4901,395.4773,395.5133,25,1,450.0581,0.4133073,0.8479425
135,8100.008,395.5759,395.5628,395.5981,25,1,450.0561,0.4430701,0.9983523
136,8160.008,395.6609,395.6483,395.6839,25,1,450.0732,0.44562,1.024619
137,8220.008,395.747,395.7339,395.7682,25,1,450.0667,0.4657263,0.8217709
138,8280.009,395.8334,395.8191,395.8547,25,1,450.0514,0.448256,1.020413
139,8340.009,395.9195,395.9038,395.9402,25,1,450.0432,0.4848936,0.8729295
140,8400.009,396.0056,395.9919,396.0254,25,1,450.0351,0.4964933,0.552927
141,8460.008,396.091,396.0768,396.1108,25,1,450.0421,0.493433,0.7937306
142,8520.008,396.1773,396.1609,396.1991,25,1,450.0285,0.4635254,0.7798863
143,8580.008,396.2632,396.2475,396.2855,25,1,450.0255,0.4882149,0.523092
144,8640.009,396.3492,396.3333,396.371,25,1,450.0201,0.4416591,0.7304459
145,8700.009,396.4348,396.417,396.4567,25,1,450.0237,0.4118837,0.933715
146,8760.008,396.5208,396.5045,396.5427,25,1,450.0178,0.4821417,1.05004
147,8820.008,396.6071,396.5922,396.6293,25,1,450.0036,0.4394141,1.073579
148,8880.008,396.6932,396.6768,396.7153,25,1,449.9962,0.4304365,0.741256
149,8940.008,396.7788,396.7625,396.8005,25,1,449.9994,0.4793104,0.6350898
150,9000.009,396.8647,396.8479,396.8867,25,1,449.9984,0.4622823,0.7675953
151,9060.009,396.9511,396.934,396.9729,25,1,449.982,0.4407252,0.6840371
152,9120.009,397.0366,397.0206,397.0586,25,1,449.9875,0.3563117,0.9020048
153,9180.008,397.1227,397.1093,397.1445,25,1,449.9782,0.4159923,0.9280975
154,9240.008,397.209,397.1952,397.2322,25,1,449.9672,0.4434384,0.695923
155,9300.008,397.2952,397.2802,397.3194,25,1,449.9547,0.4930811,0.6895716
156,9360.009,397.3806,397.3667,397.4061,25,1,449.9654,0.4827637,0.5246862
157,9420.009,397.4664,397.4517,397.493,25,1,449.9623,0.4768685,0.9785025
158,9480.009,397.5524,397.5367,397.5798,25,1,449.9567,0.4760568,0.7231374
159,9540.008,397.6384,397.6209,397.6653,25,1,449.9526,0.4901453,0.9924832
160,9600.008,397.7241,397.7069,397.7505,25,1,449.9541,0.4692999,0.7182858
161,9660.008,397.8101,397.7927,397.8356,25,1,449.9485,0.4836435,0.4380572
162,9720.009,397.8955,397.8799,397.9221,25,1,449.956,0.4299876,0.8615651
163,9780.009,397.9811,397.9633,398.0073,25,1,449.959,0.4758727,0.450828
164,9840.009,398.0667,398.0487,398.0927,25,1,449.9633,0.4298287,0.9947634
165,9900.008,398.1529,398.1353,398.1793,25,1,449.9541,0.4230127,0.8195121
166,9960.008,398.2387,398.2202,398.264,25,1,449.9535,0.4742703,0.7513874
167,10020.01,398.324,398.3056,398.3475,25,1,449.9643,0.485846,0.7367877
168,10080.01,398.4097,398.3898,398.4326,25,1,449.9667,0.4890862,0.6837795
169,10140.01,398.4951,398.4741,398.5195,25,1,449.9738,0.4774165,0.78865
170,10200.01,398.581,398.5602,398.6052,25,1,449.971,0.4137514,0.726635
171,10260.01,398.6672,398.6446,398.6931,25,1,449.9604,0.4768702,0.8152068
172,10320.01,398.7534,398.7315,398.7817,25,1,449.9505,0.4738201,0.8722904
173,10380.01,398.8399,398.8175,398.8683,25,1,449.9306,0.4957398,0.8437573
174,10440.01,398.9253,398.9036,398.953,25,1,449.9413,0.4328863,0.9565598
175,10500.01,399.0114,398.9905,399.0394,25,1,449.9332,0.4886066,0.9313082
176,10560.01,399.0972,399.0753,399.1256,25,1,449.931,0.4473764,0.7724484
177,10620.01,399.183,399.159,399.212,25,1,449.931,0.4626304,0.5850449
178,10680.01,399.2684,399.2448,399.2963,25,1,449.9391,0.4681256,0.8493119
179,10740.01,399.3547,399.3315,399.3821,25,1,449.9264,0.4663916,0.7306153
180,10800.01,399.4406,399.4179,399.4702,25,1,449.9238,0.4980146,0.8721742
181,10860.01,399.526,399.5034,399.5536,25,1,449.9317,0.4658211,1.097616
182,10920.01,399.6115,399.5888,399.6393,25,1,449.938,0.4706044,0.5473942
183,10980.01,399.6969,399.6722,399.7256,25,1,449.9471,0.4297768,1.041232
184,11040.01,399.7825,399.7581,399.8109,25,1,449.9525,0.4155204,0.9982944
185,11100.01,399.8679,399.8436,399.8958,25,1,449.9596,0.4402883,0.8088539
186,11160.01,399.9531,399.9291,399.9817,25,1,449.9738,0.4899741,0.6684086
187,11220.01,400.0391,400.0161,400.0685,25,1,449.9695,0.4513126,0.9011473
188,11280.01,400.1249,400.1013,400.1528,25,1,449.9683,0.4777369,0.5562305
189,11340.01,400.2108,400.1866,400.2382,25,1,449.9632,0.4796443,0.4263477
190,11400.01,400.2978,400.2723,400.3236,25,1,449.9345,0.4776403,0.8959132
191,11460.01,400.3835,400.3582,400.4094,25,1,449.9347,0.493386,0.9689824
192,11520.01,400.4698,400.4449,400.4971,25,1,449.9221,0.4710145,0.8453484
193,11580.01,400.5554,400.5294,400.5839,25,1,449.9264,0.4980606,0.6684065
194,11640.01,400.6409,400.6155,400.6696,25,1,449.933,0.4591067,0.8289675
195,11700.01,400.7273,400.7018,400.7546,25,1,449.9176,0.4918393,0.9545089
196,11760.01,400.8129,400.7881,400.8396,25,1,449.92,0.466476,0.6931231
197,11820.01,400.8986,400.8728,400.9258,25,1,449.9225,0.4511895,0.6363074
198,11880.01,400.9848,400.9604,401.0129,25,1,449.9118,0.4861319,0.6120827
199,11940.01,401.0707,401.045,401.1005,25,1,449.9087,0.4836875,0.8560885
200,12000.01,401.1567,401.1317,401.1853,25,1,449.9013,0.4748646,1.03746
201,12060.01,401.2428,401.2177,401.2703,25,1,449.894,0.487269,0.62447
202,12120.01,401.3286,401.3041,401.3548,25,1,449.8925,0.4586217,0.7577879
203,12180.01,401.4149,401.3907,401.4405,25,1,449.8778,0.473645,0.5896463
204,12240.01,401.5001,401.4768,401.526,25,1,449.8941,0.4820511,0.467921
205,12300.01,401.5861,401.5634,401.6123,25,1,449.8882,0.4501402,0.8916699
206,12360.01,401.672,401.6476,401.6984,25,1,449.8834,0.4633979,1.136469
207,12420.01,401.758,401.7338,401.7853,25,1,449.8779,0.4887102,1.046094
208,12480.01,401.8444,401.8211,401.8723,25,1,449.8632,0.4643376,1.074204
209,12540.01,401.9299,401.9063,401.9573,25,1,449.8693,0.4525375,0.7954809
210,12600.01,402.015,401.9913,402.0413,25,1,449.8852,0.4810997,0.9794099
211,12660.01,402.1014,402.0761,402.1285,25,1,449.87,0.436339,1.031396
212,12720.01,402.187,402.1614,402.2141,25,1,449.8723,0.4800202,0.8258776
213,12780.01,402.2723,402.246,402.2991,25,1,449.8856,0.4578635,0.7277184
214,12840.01,402.3579,402.3318,402.3843,25,1,449.8882,0.4201092,0.8137512
215,12900.01,402.4432,402.4156,402.4713,25,1,449.9009,0.4692798,0.6441554
216,12960.01,402.529,402.5025,402.5577,25,1,449.9005,0.4920741,0.721934
217,13020.01,402.615,402.5882,402.6434,25,1,449.894,0.4972087,0.8412926
218,13080.01,402.7013,402.676,402.73,25,1,449.8802,0.4876579,0.6480407
219,13140.01,402.7871,402.7639,402.8168,25,1,449.8797,0.4617902,0.5406606
220,13200.01,402.8731,402.8502,402.9025,25,1,449.8727,0.3950223,0.6786115
221,13260.01,402.9598,402.9369,402.99,25,1,449.8512,0.4727567,0.6811812
