Step,TimeStamp,AvgEnergy,AverageEnergy_5th,AverageEnergy_95th,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
73,4379.88,389.0457,389.0379,389.0599,25,1,480.3771,0.4873021,0.4316367
74,4439.88,389.1149,389.1062,389.1292,25,1,480.7915,0.4462361,0.6049293
75,4499.88,389.1837,389.1747,389.1969,25,1,481.2135,0.4850562,0.9231224
76,4559.88,389.2533,389.2445,389.267,25,1,481.6192,0.4544516,0.6458778
77,4619.88,389.3224,389.314,389.3353,25,1,482.035,0.4737571,1.003525
78,4679.88,389.3919,389.3835,389.4052,25,1,482.4409,0.488142,0.4915144
79,4739.88,389.4615,389.4528,389.4742,25,1,482.8469,0.427384,0.9083135
80,4799.88,389.5302,389.522,389.5426,25,1,483.274,0.4264704,0.7311926
81,4859.88,389.5995,389.5907,389.6118,25,1,483.6843,0.4848116,0.7324703
82,4919.88,389.6687,389.6587,389.6834,25,1,484.0993,0.490298,0.533603
83,4979.88,389.7373,389.7273,389.7507,25,1,484.5283,0.4678066,1.04431
84,5039.88,389.8065,389.7952,389.82,25,1,484.9404,0.4320439,0.8086244
85,5099.88,389.8759,389.8647,389.8891,25,1,485.3507,0.4714637,0.9154772
86,5159.88,389.9447,389.9343,389.9571,25,1,485.7755,0.4879174,0.5859836
87,5219.88,390.0135,390.0027,390.0282,25,1,486.1993,0.4695798,0.8505097
88,5279.88,390.0825,390.071,390.0977,25,1,486.6183,0.4724096,0.8687044
89,5339.88,390.152,390.1407,390.1668,25,1,487.025,0.4859787,0.7014092
90,5399.88,390.2215,390.2112,390.2374,25,1,487.4325,0.4774636,0.5821365
91,5459.88,390.2899,390.2801,390.3043,25,1,487.8666,0.4852199,0.5192709
92,5519.88,390.3589,390.3483,390.3734,25,1,488.284,0.4956892,0.9338673
93,5579.88,390.4281,390.4167,390.4439,25,1,488.6981,0.461336,0.8519351
94,5639.88,390.4973,390.4863,390.5123,25,1,489.1128,0.4461575,0.7063639
95,5699.88,390.5663,390.5549,390.5799,25,1,489.5332,0.4449546,1.002009
96,5759.88,390.6356,390.6252,390.6487,25,1,489.9432,0.4961841,0.9016644
97,5819.88,390.7051,390.6945,390.7174,25,1,490.3489,0.4152639,0.7684189
98,5879.88,390.774,390.763,390.7854,25,1,490.7709,0.4450907,0.7730404
99,5939.88,390.8428,390.8311,390.8549,25,1,491.1955,0.4389337,0.8532863
100,5999.88,390.912,390.9014,390.9243,25,1,491.6087,0.4298567,0.8396148
101,6059.88,390.9817,390.9704,390.9936,25,1,492.0125,0.4384453,0.7928171
102,6119.88,391.0506,391.0387,391.064,25,1,492.4337,0.4842603,0.9174815
103,6179.88,391.1204,391.1067,391.1333,25,1,492.8331,0.4952035,0.8443266
104,6239.88,391.1904,391.1757,391.2029,25,1,493.2259,0.4573759,0.6494777
105,6299.88,391.2596,391.2456,391.2737,25,1,493.6389,0.4876372,0.6187155
106,6359.88,391.3289,391.3141,391.3446,25,1,494.0525,0.4389199,1.007596
107,6419.88,391.3982,391.3834,391.4135,25,1,494.4627,0.483036,0.674173
108,6479.88,391.4673,391.4528,391.4826,25,1,494.8789,0.4721284,0.7411047
109,6539.88,391.536,391.522,391.5521,25,1,495.3055,0.4911248,0.9132615
110,6599.88,391.6047,391.5912,391.6213,25,1,495.7339,0.4981836,0.7368535
111,6659.88,391.6739,391.6594,391.6903,25,1,496.1477,0.4301252,0.8340015
112,6719.88,391.7431,391.7284,391.7603,25,1,496.5621,0.4939053,0.864558
113,6779.88,391.8128,391.7976,391.8297,25,1,496.9637,0.4056908,0.8367625
114,6839.88,391.8818,391.8675,391.8981,25,1,497.3828,0.4757167,0.783282
115,6900.01,391.9503,391.9361,391.9666,25,1,497.8125,0.4562254,0.4138575
116,6960.011,392.0199,392.0044,392.037,25,1,498.2182,0.4517869,0.9255458
117,7020.01,392.0889,392.0738,392.1067,25,1,498.6374,0.4924697,0.6142382
118,7080.01,392.1579,392.1414,392.1765,25,1,499.0563,0.4454553,0.6275525
119,7140.01,392.2268,392.2107,392.2453,25,1,499.4768,0.4419169,1.122401
120,7200.01,392.2958,392.2791,392.3139,25,1,499.8961,0.4730369,0.9143105
121,7260.011,392.365,392.3492,392.3837,25,1,500.3116,0.4844553,0.7326443
122,7320.01,392.4342,392.4181,392.4536,25,1,500.7249,0.4494409,0.6479113
123,7380.01,392.5035,392.4882,392.5235,25,1,501.1351,0.445145,0.6364803
124,7440.01,392.5724,392.5563,392.5934,25,1,501.5575,0.4776943,0.7792566
125,7500.01,392.6417,392.6265,392.6627,25,1,501.9692,0.4555006,0.6834643
126,7560.01,392.7109,392.6957,392.7314,25,1,502.3845,0.484213,0.9508806
127,7620.01,392.7802,392.7665,392.7997,25,1,502.7943,0.4805399,1.073948
128,7680.01,392.8495,392.834,392.8692,25,1,503.2068,0.4484156,0.7156247
129,7740.01,392.9184,392.9034,392.9377,25,1,503.6297,0.4475049,0.9699431
130,7800.01,392.9873,392.9713,393.0049,25,1,504.0508,0.4638766,0.5227507
131,7860.01,393.0563,393.0409,393.0741,25,1,504.4686,0.4664012,0.6647922
132,7920.01,393.1255,393.1098,393.1423,25,1,504.8846,0.459138,0.4734095
133,7980.01,393.195,393.1812,393.2111,25,1,505.2889,0.483769,0.5542635
134,8040.01,393.2642,393.2501,393.2806,25,1,505.7051,0.4911028,0.6916794
135,8100.01,393.3339,393.3184,393.3508,25,1,506.1059,0.4680612,0.4369406
136,8160.01,393.4028,393.3869,393.4197,25,1,506.5273,0.4370064,1.005747
137,8220.01,393.472,393.4564,393.4886,25,1,506.94,0.3805128,0.6229656
138,8280.01,393.5412,393.5267,393.5585,25,1,507.3556,0.4451224,0.8345659
139,8340.011,393.6096,393.595,393.627,25,1,507.7895,0.4774667,0.6577407
140,8400.01,393.6788,393.6642,393.6955,25,1,508.2045,0.4961255,0.8412722
141,8460.01,393.7479,393.7319,393.7637,25,1,508.6203,0.4870078,0.6863629
142,8520.01,393.8173,393.803,393.8328,25,1,509.03,0.4161937,0.8704041
143,8580.01,393.8861,393.8717,393.9021,25,1,509.4531,0.4896744,0.5094233
144,8640.01,393.9556,393.9404,393.9712,25,1,509.8597,0.4828685,0.7107618
145,8700.01,394.0248,394.0093,394.0402,25,1,510.273,0.4329171,0.8311889
146,8760.01,394.0938,394.0789,394.109,25,1,510.6934,0.4794157,0.6480242
147,8820.01,394.1624,394.1486,394.1789,25,1,511.1225,0.4609758,0.8570327
148,8880.01,394.2317,394.2179,394.248,25,1,511.5347,0.4956163,0.791931
149,8940.01,394.2999,394.2848,394.3179,25,1,511.9738,0.3921793,0.9186413
150,9000.01,394.3693,394.3546,394.3882,25,1,512.3832,0.4763801,0.995831
151,9060.01,394.4386,394.4243,394.4562,25,1,512.7941,0.4831348,0.7783405
152,9120.01,394.5082,394.4947,394.5247,25,1,513.1987,0.4516783,0.5004524
153,9180.011,394.5777,394.5633,394.5946,25,1,513.6045,0.4936396,0.7696783
154,9240.01,394.647,394.6335,394.6634,25,1,514.0153,0.4948711,0.88515
155,9300.01,394.7162,394.7022,394.7327,25,1,514.4296,0.4819381,0.7203271
156,9360.01,394.7852,394.7707,394.8023,25,1,514.8478,0.4771133,0.6722941
157,9420.01,394.8545,394.8404,394.8729,25,1,515.2612,0.4769196,0.5223444
158,9480.01,394.9235,394.909,394.942,25,1,515.6791,0.4935857,1.032179
159,9540.01,394.9931,394.979,395.0122,25,1,516.0844,0.4991254,0.7622357
160,9600.011,395.0624,395.0485,395.0815,25,1,516.4962,0.4942218,0.8670042
161,9660.011,395.1312,395.1146,395.1502,25,1,516.9196,0.454225,0.8718788
162,9720.01,395.1997,395.1818,395.2185,25,1,517.3509,0.4918175,0.7782922
163,9780.01,395.2683,395.2511,395.2873,25,1,517.7795,0.4450374,0.8199604
164,9840.01,395.3375,395.3196,395.3557,25,1,518.1957,0.4869882,0.9356185
165,9900.011,395.4067,395.3894,395.4235,25,1,518.6082,0.4787174,0.7750865
166,9960.011,395.4757,395.4589,395.4933,25,1,519.0266,0.4764193,0.9286486
167,10020.01,395.5452,395.5294,395.5625,25,1,519.4341,0.4667728,0.6983135
168,10080.01,395.6149,395.5992,395.6323,25,1,519.8369,0.4686193,0.4735495
169,10140.01,395.6837,395.6677,395.7009,25,1,520.259,0.4893939,0.7252257
170,10200.01,395.7538,395.7383,395.772,25,1,520.6531,0.474901,0.953693
171,10260.01,395.8225,395.8069,395.8412,25,1,521.079,0.4628589,0.765527
172,10320.01,395.8918,395.8764,395.9105,25,1,521.4899,0.4788419,0.5294071
173,10380.01,395.9612,395.9442,395.9801,25,1,521.9004,0.4473203,0.9038968
174,10440.01,396.0302,396.0136,396.0498,25,1,522.3171,0.4816462,0.7324654
175,10500.01,396.0992,396.0836,396.1206,25,1,522.7379,0.4844304,1.083929
176,10560.01,396.1679,396.1517,396.1893,25,1,523.1635,0.3840728,0.8550661
177,10620.01,396.2376,396.2213,396.2587,25,1,523.5649,0.446465,0.7827198
178,10680.01,396.3067,396.2902,396.3278,25,1,523.9825,0.4690261,0.5990046
179,10740.01,396.3755,396.3593,396.3962,25,1,524.405,0.461986,0.6929869
180,10800.01,396.445,396.43,396.4662,25,1,524.8126,0.4265152,0.8518739
181,10860.01,396.5139,396.4988,396.5349,25,1,525.2348,0.4833702,1.041918
182,10920.01,396.5832,396.5688,396.6035,25,1,525.6458,0.4937564,0.9236606
183,10980.01,396.6525,396.6374,396.6737,25,1,526.0573,0.4944815,0.7686964
184,11040.01,396.722,396.7072,396.7446,25,1,526.463,0.444615,0.648223
185,11100.01,396.7909,396.7758,396.8135,25,1,526.8849,0.4345849,0.6363269
186,11160.01,396.8596,396.8442,396.8816,25,1,527.3105,0.4571396,0.9811186
187,11220.01,396.9287,396.9133,396.9508,25,1,527.7285,0.4377038,0.8693578
188,11280.01,396.9977,396.9823,397.0188,25,1,528.1466,0.3949904,0.8867978
189,11340.01,397.0669,397.0514,397.0868,25,1,528.5627,0.4334036,0.9411584
190,11400.01,397.1362,397.1205,397.1558,25,1,528.9724,0.4696136,0.8401479
191,11460.01,397.2053,397.1883,397.2253,25,1,529.3892,0.4647656,0.8706465
192,11520.01,397.2743,397.257,397.2938,25,1,529.8104,0.4766968,0.7635931
193,11580.01,397.3436,397.3274,397.3633,25,1,530.2207,0.4941637,0.5508805
194,11640.01,397.4131,397.3968,397.4331,25,1,530.6284,0.4599984,0.5794837
195,11700.01,397.4824,397.4652,397.5021,25,1,531.039,0.431131,0.5278745
196,11760.01,397.5515,397.5345,397.5709,25,1,531.4551,0.4545206,0.9646119
197,11820.01,397.6209,397.6031,397.6411,25,1,531.8639,0.4210492,0.6883395
198,11880.01,397.6902,397.6729,397.7101,25,1,532.2769,0.4664406,0.8603297
199,11940.01,397.7599,397.7417,397.7795,25,1,532.6783,0.4509243,0.9106118
200,12000.01,397.8295,397.8101,397.8497,25,1,533.0829,0.4794065,0.7083983
201,12060.01,397.8986,397.8796,397.9192,25,1,533.4999,0.4925164,0.9797849
202,12120.01,397.9677,397.9479,397.9893,25,1,533.9152,0.446189,1.137263
203,12180.01,398.0371,398.0166,398.0582,25,1,534.3243,0.4658616,0.8128747
204,12240.01,398.1057,398.0848,398.1259,25,1,534.7526,0.4881033,0.975904
205,12300.01,398.1747,398.1539,398.1964,25,1,535.1713,0.4732152,0.9355506
206,12360.01,398.244,398.2231,398.2651,25,1,535.5829,0.4294796,0.6146911
207,12420.01,398.3133,398.2932,398.3351,25,1,535.9961,0.4346845,0.8750409
