"","Day","Temperature.C","Weight.g"
"1",1,5,382.727310351094
"2",2,5,381.45743629299
"3",3,5,380.190376136489
"4",4,5,378.926128180788
"5",5,5,377.664690713494
"6",6,5,376.406062010637
"7",7,5,375.150240336684
"8",8,5,373.897223944552
"9",9,5,372.647011075621
"10",10,5,371.399599959749
"11",11,5,370.154988815289
"12",12,5,368.913175849098
"13",13,5,367.674159256556
"14",14,5,366.437937221577
"15",15,5,365.204507916631
"16",16,5,363.973869502749
"17",17,5,362.746020129549
"18",18,5,361.520957935244
"19",19,5,360.298681046662
"20",20,5,359.079187579258
"21",21,5,357.862475637136
"22",22,5,356.64854331306
"23",23,5,355.437388688475
"24",24,5,354.229009833518
"25",25,5,353.023404807044
"26",26,5,351.820571656632
"27",27,5,350.620508418613
"28",28,5,349.42321311808
"29",29,5,348.228683768909
"30",30,5,347.036918373776
"31",31,5,345.847914924178
