Step,TimeStamp,AvgEnergy,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
126,3780,0,0,1,343.527,NaN,NaN
127,3810,0,0,1,346.2527,NaN,NaN
128,3840,0,0,1,348.9784,NaN,NaN
129,3870,0,0,1,351.7041,NaN,NaN
130,3900,0,0,1,354.4298,NaN,NaN
131,3930,0,0,1,357.1555,NaN,NaN
132,3960,0,0,1,359.8812,NaN,NaN
133,3989.999,0,0,1,362.6068,NaN,NaN
134,4020,0,0,1,365.3326,NaN,NaN
135,4049.999,0,0,1,368.0583,NaN,NaN
136,4079.999,0,0,1,370.7839,NaN,NaN
137,4110,0,0,1,373.5096,NaN,NaN
138,4139.999,0,0,1,376.2353,NaN,NaN
139,4169.999,0,0,1,378.961,NaN,NaN
140,4199.999,0,0,1,381.6867,NaN,NaN
141,4229.999,0,0,1,384.4124,NaN,NaN
142,4259.999,0,0,1,387.1381,NaN,NaN
143,4289.999,0,0,1,389.8638,NaN,NaN
144,4319.999,0,0,1,392.5895,NaN,NaN
145,4349.999,0,0,1,395.3152,NaN,NaN
146,4379.999,0,0,1,398.0409,NaN,NaN
147,4409.999,0,0,1,400.7666,NaN,NaN
148,4439.999,0,0,1,403.4923,NaN,NaN
149,4469.999,0,0,1,406.218,NaN,NaN
150,4500,0,0,1,408.9437,NaN,NaN
151,4530,0,0,1,411.6693,NaN,NaN
152,4560,0,0,1,414.3951,NaN,NaN
153,4590,0,0,1,417.1208,NaN,NaN
154,4620,0,0,1,419.8464,NaN,NaN
155,4649.999,0,0,1,422.5721,NaN,NaN
156,4679.999,0,0,1,425.2978,NaN,NaN
157,4709.999,0,0,1,428.0235,NaN,NaN
158,4739.999,0,0,1,430.7492,NaN,NaN
159,4769.999,0,0,1,433.4749,NaN,NaN
160,4799.999,0,0,1,436.2006,NaN,NaN
161,4829.999,0,0,1,438.9263,NaN,NaN
162,4859.999,0,0,1,441.652,NaN,NaN
163,4889.999,0,0,1,444.3777,NaN,NaN
164,4920,0,0,1,447.1034,NaN,NaN
165,4950,0,0,1,449.8291,NaN,NaN
166,4980,0,0,1,452.5548,NaN,NaN
167,5010,0,0,1,455.2805,NaN,NaN
168,5040,0,0,1,458.0062,NaN,NaN
169,5070,0,0,1,460.7318,NaN,NaN
170,5100,0,0,1,463.4576,NaN,NaN
171,5130,0,0,1,466.1833,NaN,NaN
172,5160,0,0,1,468.9089,NaN,NaN
173,5190,0,0,1,471.6346,NaN,NaN
174,5220,0,0,1,474.3603,NaN,NaN
175,5250,0,0,1,477.086,NaN,NaN
176,5280,0,0,1,479.8117,NaN,NaN
177,5310,0,0,1,482.5374,NaN,NaN
178,5340,0,0,1,485.2631,NaN,NaN
179,5370,0,0,1,487.9888,NaN,NaN
180,5400,0,0,1,490.7145,NaN,NaN
181,5430,0,0,1,493.4402,NaN,NaN
182,5460,0,0,1,496.1659,NaN,NaN
183,5490,0,0,1,498.8916,NaN,NaN
184,5520,0,0,1,501.6173,NaN,NaN
185,5550,0,0,1,504.343,NaN,NaN
186,5580,0,0,1,507.0687,NaN,NaN
187,5610,0,0,1,509.7943,NaN,NaN
188,5640,0,0,1,512.52,NaN,NaN
189,5670,0,0,1,515.2457,NaN,NaN
190,5700,0,0,1,517.9714,NaN,NaN
191,5730,0,0,1,520.6971,NaN,NaN
192,5760,0,0,1,523.4229,NaN,NaN
193,5790,0,0,1,526.1485,NaN,NaN
194,5820,0,0,1,528.8742,NaN,NaN
195,5850,0,0,1,531.5999,NaN,NaN
196,5880,0,0,1,534.3256,NaN,NaN
197,5910,0,0,1,537.0513,NaN,NaN
198,5940,0,0,1,539.777,NaN,NaN
199,5970,0,0,1,542.5027,NaN,NaN
200,6000,0,0,1,545.2284,NaN,NaN
201,6030,0,0,1,547.9541,NaN,NaN
202,6060,0,0,1,550.6797,NaN,NaN
203,6090,0,0,1,553.4055,NaN,NaN
204,6120,0,0,1,556.1312,NaN,NaN
205,6150,0,0,1,558.8569,NaN,NaN
206,6180,0,0,1,561.5825,NaN,NaN
207,6210,0,0,1,564.3082,NaN,NaN
208,6240,0,0,1,567.0339,NaN,NaN
209,6269.999,0,0,1,569.7596,NaN,NaN
210,6299.999,0,0,1,572.4854,NaN,NaN
211,6329.999,0,0,1,575.211,NaN,NaN
212,6359.999,0,0,1,577.9367,NaN,NaN
213,6389.999,0,0,1,580.6624,NaN,NaN
