Step,TimeStamp,AvgEnergy,AverageEnergy_5th,AverageEnergy_95th,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
0,0.0010005,384,384,384,25,1,450,0.4927354,4.853849
1,3.87275,383.947,383.947,383.947,25,1,452.7257,0.3050975,0.9390879
2,7.701284,383.894,383.894,383.894,25,1,455.4514,0.362933,1.038594
3,11.70331,383.8409,383.8409,383.8409,25,1,458.1771,0.3740338,0.9189928
4,15.6062,383.7879,383.7879,383.7879,25,1,460.9028,0.3943401,0.7386335
5,19.5163,383.7349,383.7349,383.7349,25,1,463.6285,0.385401,0.8836191
6,23.43306,383.6819,383.6819,383.6819,25,1,466.3542,0.4100077,0.9800872
7,27.42841,383.6289,383.6289,383.6289,25,1,469.0799,0.3927245,0.8269948
8,31.20609,383.5759,383.5759,383.5759,25,1,471.8055,0.4130488,0.6675872
9,34.91107,383.5229,383.5229,383.5229,25,1,474.5313,0.4008805,1.05495
10,38.64436,383.47,383.47,383.47,25,1,477.257,0.3212128,0.8989359
11,42.37203,383.417,383.417,383.417,25,1,479.9826,0.348579,0.8912637
12,46.08881,383.364,383.364,383.364,25,1,482.7083,0.4595642,0.9034269
13,49.80939,383.311,383.311,383.311,25,1,485.434,0.3767633,0.664678
14,53.52527,383.2581,383.2581,383.2581,25,1,488.1597,0.4291346,0.7865923
15,57.27056,383.2051,383.2051,383.2051,25,1,490.8854,0.4034426,0.865689
16,61.01336,383.1522,383.1522,383.1522,25,1,493.6111,0.3537968,0.3871129
17,64.73109,383.0992,383.0992,383.0992,25,1,496.3368,0.4526266,0.7729647
18,68.50826,383.0463,383.0463,383.0463,25,1,499.0625,0.4022835,1.02499
19,72.29337,382.9933,382.9933,382.9933,25,1,501.7882,0.3661769,0.9321911
20,76.10125,382.9404,382.9404,382.9404,25,1,504.5139,0.3837997,0.7085034
21,79.94139,382.8875,382.8875,382.8875,25,1,507.2396,0.4433426,0.6400519
22,83.66029,382.8346,382.8346,382.8346,25,1,509.9653,0.4491592,1.008572
23,87.37768,382.7816,382.7816,382.7816,25,1,512.691,0.4397272,0.6832842
24,91.12128,382.7287,382.7287,382.7287,25,1,515.4167,0.3416829,0.7913017
25,94.83427,382.6758,382.6758,382.6758,25,1,518.1423,0.4076589,1.014995
26,98.5616,382.6229,382.6229,382.6229,25,1,520.868,0.4070684,0.9596478
27,102.2834,382.57,382.57,382.57,25,1,523.5938,0.3710896,0.8305101
28,106.0405,382.5171,382.5171,382.5171,25,1,526.3195,0.4183981,0.5640845
29,109.7828,382.4642,382.4642,382.4642,25,1,529.0452,0.3707666,0.8302032
30,113.5513,382.4113,382.4113,382.4113,25,1,531.7708,0.3787279,0.7567015
31,117.3005,382.3585,382.3585,382.3585,25,1,534.4965,0.3852053,0.9118018
32,121.0232,382.3056,382.3056,382.3056,25,1,537.2222,0.3885223,0.9139826
33,124.7269,382.2527,382.2527,382.2527,25,1,539.9479,0.4133302,0.7033204
34,128.7276,382.1999,382.1999,382.1999,25,1,542.6736,0.4116826,0.7783911
35,132.4838,382.147,382.147,382.147,25,1,545.3993,0.4024407,1.109931
36,136.2798,382.0941,382.0941,382.0941,25,1,548.125,0.4489093,0.6681879
37,140.0647,382.0413,382.0413,382.0413,25,1,550.8507,0.407184,0.557046
38,143.9054,381.9884,381.9884,381.9884,25,1,553.5764,0.4677681,0.7068336
39,147.7417,381.9356,381.9356,381.9356,25,1,556.3021,0.4204488,0.9240595
40,151.502,381.8828,381.8828,381.8828,25,1,559.0278,0.4447471,0.5834009
41,155.2588,381.8299,381.8299,381.8299,25,1,561.7535,0.3794567,0.5940664
42,159.102,381.7771,381.7771,381.7771,25,1,564.4792,0.4482398,0.6040421
43,162.9317,381.7243,381.7243,381.7243,25,1,567.2048,0.4045628,0.7943051
44,166.8021,381.6714,381.6714,381.6714,25,1,569.9305,0.4331997,1.216933
45,170.6408,381.6187,381.6187,381.6187,25,1,572.6563,0.3884853,0.9892657
46,174.4189,381.5659,381.5659,381.5659,25,1,575.382,0.4192223,0.4734185
47,178.2827,381.513,381.513,381.513,25,1,578.1077,0.4143275,0.576481
48,182.3465,381.4602,381.4602,381.4602,25,1,580.8333,0.4311537,0.6709403
49,186.4976,381.4074,381.4074,381.4074,25,1,583.559,0.4277443,0.6908293
50,190.463,381.3547,381.3547,381.3547,25,1,586.2847,0.3760249,0.7833238
51,194.4518,381.3019,381.3019,381.3019,25,1,589.0104,0.4511675,0.8209149
52,198.574,381.2491,381.2491,381.2491,25,1,591.7361,0.3785226,0.6503131
53,202.5139,381.1963,381.1963,381.1963,25,1,594.4618,0.2905955,0.6623641
54,206.4819,381.1436,381.1436,381.1436,25,1,597.1875,0.4416344,0.9306262
55,210.3746,381.0908,381.0908,381.0908,25,1,599.9132,0.4656949,0.789363
56,214.3099,381.0381,381.0381,381.0381,25,1,602.6389,0.3377606,0.788587
57,218.2086,380.9853,380.9853,380.9853,25,1,605.3646,0.4423001,0.8564624
58,222.1738,380.9326,380.9326,380.9326,25,1,608.0903,0.3830692,0.9212649
59,226.0257,380.8798,380.8798,380.8798,25,1,610.816,0.4731874,0.4060932
60,229.835,380.8271,380.8271,380.8271,25,1,613.5417,0.3417617,0.9598593
61,233.8814,380.7743,380.7743,380.7743,25,1,616.2673,0.4399424,0.7747998
62,238.1621,380.7216,380.7216,380.7216,25,1,618.993,0.4070101,0.6828973
63,242.6197,380.6689,380.6689,380.6689,25,1,621.7188,0.458662,0.8371276
64,246.879,380.6161,380.6161,380.6161,25,1,624.4445,0.4523904,1.130983
65,250.7519,380.5634,380.5634,380.5634,25,1,627.1702,0.4256117,0.9721118
66,254.6732,380.5107,380.5107,380.5107,25,1,629.8958,0.3695414,0.9725228
67,258.768,380.458,380.458,380.458,25,1,632.6215,0.4408833,0.8776397
68,262.904,380.4053,380.4053,380.4053,25,1,635.3472,0.4649511,0.934709
69,266.8819,380.3526,380.3526,380.3526,25,1,638.0729,0.3753316,0.6988313
70,270.6686,380.3,380.3,380.3,25,1,640.7986,0.3247924,0.829634
71,274.5037,380.2473,380.2473,380.2473,25,1,643.5243,0.4401374,0.8466882
72,278.2254,380.1946,380.1946,380.1946,25,1,646.25,0.4444429,0.7250544
73,282.0133,380.1419,380.1419,380.1419,25,1,648.9757,0.3329102,0.9353518
74,285.759,380.0892,380.0892,380.0892,25,1,651.7014,0.4256284,0.8848667
75,289.5028,380.0366,380.0366,380.0366,25,1,654.4271,0.4769609,0.8231702
76,293.2264,379.9839,379.9839,379.9839,25,1,657.1528,0.4495547,0.8872421
77,297.0929,379.9312,379.9312,379.9312,25,1,659.8785,0.3876419,0.8558647
78,301.0028,379.8786,379.8786,379.8786,25,1,662.6042,0.4137241,1.210009
79,304.7578,379.826,379.826,379.826,25,1,665.3298,0.4298873,0.4706691
80,308.5487,379.7733,379.7733,379.7733,25,1,668.0555,0.4486415,0.8079277
81,312.2919,379.7207,379.7207,379.7207,25,1,670.7813,0.4841972,0.5817088
82,316.04,379.6681,379.6681,379.6681,25,1,673.507,0.3865727,0.6519743
83,319.7779,379.6154,379.6154,379.6154,25,1,676.2327,0.3666483,0.9667919
84,323.5419,379.5628,379.5628,379.5628,25,1,678.9583,0.3675097,0.9384746
85,327.282,379.5102,379.5102,379.5102,25,1,681.684,0.4230592,0.6047228
86,331.0159,379.4576,379.4576,379.4576,25,1,684.4097,0.2853501,0.6799224
87,334.7969,379.405,379.405,379.405,25,1,687.1354,0.2926077,0.9835808
88,338.5735,379.3524,379.3524,379.3524,25,1,689.8611,0.3647484,0.8429146
89,342.3319,379.2998,379.2998,379.2998,25,1,692.5868,0.3549874,0.8410252
90,346.074,379.2472,379.2472,379.2472,25,1,695.3125,0.3275764,0.8764355
91,349.8168,379.1946,379.1946,379.1946,25,1,698.0382,0.3663529,1.056638
92,353.5777,379.142,379.142,379.142,25,1,700.7639,0.3902587,0.9600679
93,357.3058,379.0894,379.0894,379.0894,25,1,703.4896,0.347423,0.8842251
94,361.0723,379.0369,379.0369,379.0369,25,1,706.2153,0.4063419,0.8329857
95,364.8818,378.9843,378.9843,378.9843,25,1,708.941,0.3835264,0.9254112
96,368.6446,378.9317,378.9317,378.9317,25,1,711.6667,0.4754217,0.593461
97,372.338,378.8792,378.8792,378.8792,25,1,714.3923,0.4547145,1.085141
98,376.1034,378.8266,378.8266,378.8266,25,1,717.118,0.411575,0.8418794
99,379.8362,378.7741,378.7741,378.7741,25,1,719.8438,0.3544859,1.029175
100,383.6902,378.7215,378.7215,378.7215,25,1,722.5695,0.4106748,0.9658132
101,387.4531,378.669,378.669,378.669,25,1,725.2952,0.4010326,0.8216016
102,391.2008,378.6165,378.6165,378.6165,25,1,728.0208,0.3488182,0.8777055
