Step,TimeStamp,AvgEnergy,AverageEnergy_5th,AverageEnergy_95th,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
64,239.0334,384.7459,384.7459,384.7459,25,1,624.4445,0.3377882,0.797396
65,242.7465,384.7575,384.7575,384.7575,25,1,627.1702,0.4503202,0.5597861
66,246.4845,384.7692,384.7692,384.7692,25,1,629.8958,0.4383799,1.198956
67,250.2076,384.7808,384.7808,384.7808,25,1,632.6215,0.4314669,0.7768239
68,253.8851,384.7924,384.7924,384.7924,25,1,635.3472,0.4378102,0.8140867
69,257.6171,384.804,384.804,384.804,25,1,638.0729,0.3778953,0.3966198
70,261.3156,384.8156,384.8156,384.8156,25,1,640.7986,0.3359713,1.035901
71,265.0136,384.8272,384.8272,384.8272,25,1,643.5243,0.3535807,0.8648578
72,268.7516,384.8388,384.8388,384.8388,25,1,646.25,0.3970562,0.7685601
73,272.5286,384.8504,384.8504,384.8504,25,1,648.9757,0.3548752,0.9793184
74,276.3456,384.862,384.862,384.862,25,1,651.7014,0.4412914,0.4098314
75,280.0736,384.8736,384.8736,384.8736,25,1,654.4271,0.3870064,0.9199051
76,283.8102,384.8852,384.8852,384.8852,25,1,657.1528,0.3613282,0.6936193
77,287.5587,384.8968,384.8968,384.8968,25,1,659.8785,0.4677322,0.7697182
78,291.2537,384.9084,384.9084,384.9084,25,1,662.6042,0.437456,0.6918276
79,294.9839,384.92,384.92,384.92,25,1,665.3298,0.4021638,1.001843
80,298.7719,384.9316,384.9316,384.9316,25,1,668.0555,0.4883289,0.7020773
81,302.4684,384.9432,384.9432,384.9432,25,1,670.7813,0.3892712,0.9244916
82,306.1679,384.9548,384.9548,384.9548,25,1,673.507,0.4032256,0.5308509
83,309.9012,384.9664,384.9664,384.9664,25,1,676.2327,0.369241,0.6098879
84,313.6132,384.978,384.978,384.978,25,1,678.9583,0.4344113,0.8072612
85,317.3062,384.9896,384.9896,384.9896,25,1,681.684,0.4116552,0.9130908
86,321.0212,385.0012,385.0012,385.0012,25,1,684.4097,0.4272876,0.6433182
87,324.7502,385.0128,385.0128,385.0128,25,1,687.1354,0.3973805,0.7605996
88,328.4252,385.0244,385.0244,385.0244,25,1,689.8611,0.361793,0.992398
89,332.1223,385.0359,385.0359,385.0359,25,1,692.5868,0.3779925,0.7697096
90,335.9072,385.0475,385.0475,385.0475,25,1,695.3125,0.4174162,0.9378608
91,339.6802,385.0591,385.0591,385.0591,25,1,698.0382,0.3918924,0.91382
92,343.3712,385.0707,385.0707,385.0707,25,1,700.7639,0.3952517,0.8910931
93,347.0752,385.0823,385.0823,385.0823,25,1,703.4896,0.3872629,0.8861319
94,350.8042,385.0939,385.0939,385.0939,25,1,706.2153,0.404135,1.006178
95,354.6648,385.1054,385.1054,385.1054,25,1,708.941,0.3750169,0.7611645
96,358.6569,385.117,385.117,385.117,25,1,711.6667,0.4366344,0.6947216
97,362.4386,385.1286,385.1286,385.1286,25,1,714.3923,0.3962528,0.8542074
98,366.1726,385.1402,385.1402,385.1402,25,1,717.118,0.2917371,0.7043722
99,370.0146,385.1518,385.1518,385.1518,25,1,719.8438,0.3954485,0.7299619
100,373.7256,385.1633,385.1633,385.1633,25,1,722.5695,0.4445342,0.4736071
101,377.4727,385.1749,385.1749,385.1749,25,1,725.2952,0.4208955,0.951518
102,381.1816,385.1865,385.1865,385.1865,25,1,728.0208,0.4465034,0.4453496
103,384.8712,385.198,385.198,385.198,25,1,730.7465,0.4090254,0.4596971
104,388.5471,385.2096,385.2096,385.2096,25,1,733.4722,0.3974166,0.5087743
105,392.2362,385.2212,385.2212,385.2212,25,1,736.1979,0.3120727,1.069462
106,395.9332,385.2327,385.2327,385.2327,25,1,738.9236,0.3582145,0.8952425
107,399.6037,385.2443,385.2443,385.2443,25,1,741.6493,0.3832804,0.7615223
108,403.3368,385.2559,385.2559,385.2559,25,1,744.375,0.4241359,0.7795107
109,407.2778,385.2674,385.2674,385.2674,25,1,747.1007,0.4170188,0.8653362
110,411.3208,385.279,385.279,385.279,25,1,749.8264,0.4605438,0.8397735
111,415.2748,385.2906,385.2906,385.2906,25,1,752.5521,0.4367608,0.4513904
112,419.4313,385.3021,385.3021,385.3021,25,1,755.2778,0.3773572,0.7348071
113,423.1919,385.3137,385.3137,385.3137,25,1,758.0035,0.4315581,0.4787731
114,426.9379,385.3252,385.3252,385.3252,25,1,760.7292,0.4573327,0.6073744
115,430.6269,385.3368,385.3368,385.3368,25,1,763.4548,0.4377246,0.954365
116,434.3639,385.3483,385.3483,385.3483,25,1,766.1805,0.4174342,0.6167317
117,438.1319,385.3599,385.3599,385.3599,25,1,768.9063,0.3769757,0.6724165
118,441.8359,385.3714,385.3714,385.3714,25,1,771.632,0.3013045,0.6300075
119,445.5599,385.383,385.383,385.383,25,1,774.3577,0.4167866,0.5252523
120,449.3219,385.3945,385.3945,385.3945,25,1,777.0833,0.3679864,0.8936682
121,453.0829,385.4061,385.4061,385.4061,25,1,779.809,0.408913,0.5477818
122,456.7859,385.4176,385.4176,385.4176,25,1,782.5347,0.4484178,0.4416474
123,460.5079,385.4292,385.4292,385.4292,25,1,785.2604,0.4176999,1.173965
124,464.2983,385.4407,385.4407,385.4407,25,1,787.9861,0.406208,0.614202
125,468.0504,385.4523,385.4523,385.4523,25,1,790.7118,0.4487288,0.5034695
126,471.8415,385.4638,385.4638,385.4638,25,1,793.4375,0.3755237,0.9683197
127,475.5809,385.4753,385.4753,385.4753,25,1,796.1632,0.330569,0.696585
128,479.3132,385.4869,385.4869,385.4869,25,1,798.8889,0.4015736,0.4819948
129,482.9802,385.4984,385.4984,385.4984,25,1,800,0.4491766,0.6790801
130,486.7332,385.5099,385.5099,385.5099,25,1,800,0.4444538,0.9349576
131,490.4522,385.5215,385.5215,385.5215,25,1,800,0.4555284,0.8188904
132,494.1353,385.533,385.533,385.533,25,1,800,0.3664241,0.8703825
133,497.8622,385.5446,385.5446,385.5446,25,1,800,0.3009277,0.9322971
134,501.5812,385.5561,385.5561,385.5561,25,1,800,0.3820582,0.6843556
135,505.3033,385.5676,385.5676,385.5676,25,1,800,0.4411296,0.8857508
136,509.0932,385.5792,385.5792,385.5792,25,1,800,0.4070979,0.7572329
137,513.0422,385.5907,385.5907,385.5907,25,1,800,0.31041,0.8253214
138,516.9012,385.6022,385.6022,385.6022,25,1,800,0.4449741,0.9759638
139,520.8463,385.6137,385.6137,385.6137,25,1,800,0.4380833,0.7859846
140,524.7623,385.6253,385.6253,385.6253,25,1,800,0.4405921,0.8403786
141,528.6033,385.6368,385.6368,385.6368,25,1,800,0.3996346,0.4063958
142,532.4113,385.6483,385.6483,385.6483,25,1,800,0.3974476,0.8988917
143,536.2792,385.6598,385.6598,385.6598,25,1,800,0.3733863,0.4758569
144,540.1022,385.6714,385.6714,385.6714,25,1,800,0.4587861,0.8533431
145,543.9332,385.6829,385.6829,385.6829,25,1,800,0.3718688,1.01584
146,547.7712,385.6944,385.6944,385.6944,25,1,800,0.4145314,0.9477043
147,551.5782,385.7059,385.7059,385.7059,25,1,800,0.4084593,0.4324103
148,555.3932,385.7174,385.7174,385.7174,25,1,800,0.4209382,0.9422203
149,559.2422,385.7289,385.7289,385.7289,25,1,800,0.4188404,0.8499959
150,563.0712,385.7404,385.7404,385.7404,25,1,800,0.4474682,0.495673
151,566.8862,385.752,385.752,385.752,25,1,800,0.4327951,0.7439265
152,570.7172,385.7635,385.7635,385.7635,25,1,800,0.4070708,0.4540848
153,574.5472,385.775,385.775,385.775,25,1,800,0.3944225,0.7633469
