Step,TimeStamp,AvgEnergy,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
107,3210.02,280.51,25,0,0,0.4729377,1.025285
108,3240.02,280.4867,25,0,0,0.4772621,1.23864
109,3270.019,280.4635,25,0,0,0.4856174,0.8940642
110,3300.02,280.4402,25,0,0,0.4484193,0.9222627
111,3330.019,280.4169,25,0,0,0.4735011,0.9207676
112,3360.02,280.3937,25,0,0,0.4666149,0.9880862
113,3390.296,280.3704,25,0,0,0.486802,0.9962874
114,3420.297,280.3472,25,0,0,0.4909124,0.808028
115,3450.297,280.3239,25,0,0,0.4952279,1.121928
116,3480.296,280.3006,25,0,0,0.4651604,1.011142
117,3510.296,280.2774,25,0,0,0.4519221,1.045021
118,3540.296,280.2541,25,0,0,0.4815036,0.9304825
119,3570.296,280.2308,25,0,0,0.4560713,1.054296
120,3600.296,280.2076,25,0,0,0.4551312,1.062743
121,3630.297,280.1843,25,0,0,0.4750793,1.194843
122,3660.297,280.161,25,0,0,0.4838625,1.077233
123,3690.297,280.1378,25,0,0,0.4429927,1.016556
124,3720.296,280.1145,25,0,0,0.4789868,0.9271615
125,3750.296,280.0912,25,0,0,0.4771088,0.9226145
126,3780.296,280.068,25,0,0,0.4524636,0.9083524
127,3810.297,280.0447,25,0,0,0.4964539,0.9858928
128,3840.297,280.0215,25,0,0,0.4747916,1.074706
129,3870.296,279.9982,25,0,0,0.4690374,0.8444389
130,3900.296,279.9749,25,0,0,0.4950365,0.9435653
131,3930.296,279.9517,25,0,0,0.4699931,0.9153979
132,3960.296,279.9284,25,0,0,0.4375527,0.891983
133,3990.297,279.9052,25,0,0,0.4765507,0.87087
134,4020.296,279.8819,25,0,0,0.4950448,0.94216
135,4050.297,279.8586,25,0,0,0.4369138,0.8189948
136,4080.296,279.8354,25,0,0,0.4542596,0.9290099
137,4110.296,279.8121,25,0,0,0.4823892,0.8690382
138,4140.296,279.7888,25,0,0,0.4942198,0.9806368
139,4170.296,279.7656,25,0,0,0.4579605,0.9860336
140,4200.297,279.7423,25,0,0,0.4758762,1.240748
141,4230.296,279.719,25,0,0,0.4616272,1.10831
142,4260.296,279.6958,25,0,0,0.4853418,1.038078
143,4290.297,279.6725,25,0,0,0.4839517,1.022244
144,4320.296,279.6492,25,0,0,0.4561158,1.067398
145,4350.296,279.626,25,0,0,0.451275,1.120346
146,4380.296,279.6027,25,0,0,0.4818606,1.055639
147,4410.296,279.5794,25,0,0,0.4724279,0.9148595
148,4440.296,279.5562,25,0,0,0.4573455,0.8359321
149,4470.296,279.5329,25,0,0,0.474986,1.017653
150,4500.296,279.5096,25,0,0,0.407835,0.8935146
151,4530.296,279.4864,25,0,0,0.4539684,0.9318204
152,4560.297,279.4631,25,0,0,0.4618865,1.025457
153,4590.296,279.4398,25,0,0,0.4583253,0.8072447
154,4620.297,279.4166,25,0,0,0.4529159,0.9836995
155,4650.296,279.3933,25,0,0,0.4181146,0.8706324
156,4680.296,279.3701,25,0,0,0.4796706,0.9350393
157,4710.296,279.3468,25,0,0,0.4941665,1.13213
158,4740.296,279.3235,25,0,0,0.4852592,0.9909332
159,4770.296,279.3003,25,0,0,0.484326,1.041458
160,4800.296,279.277,25,0,0,0.4952317,1.007915
161,4830.296,279.2538,25,0,0,0.486704,0.8980084
162,4860.296,279.2305,25,0,0,0.4318683,1.038744
163,4890.297,279.2072,25,0,0,0.4624348,1.0458
164,4920.296,279.184,25,0,0,0.4380905,0.9990252
165,4950.296,279.1607,25,0,0,0.4911298,1.037356
166,4980.296,279.1374,25,0,0,0.4302582,0.842338
167,5010.296,279.1142,25,0,0,0.4851296,0.9563507
168,5040.297,279.0909,25,0,0,0.4576085,0.9855
169,5070.296,279.0676,25,0,0,0.4343037,1.003983
170,5100.296,279.0444,25,0,0,0.4915265,1.001159
171,5130.297,279.0211,25,0,0,0.490838,1.062226
172,5160.296,278.9979,25,0,0,0.4916802,0.8121676
173,5190.296,278.9746,25,0,0,0.4889029,0.9706882
174,5220.296,278.9513,25,0,0,0.4961384,0.7544591
175,5250.297,278.9281,25,0,0,0.4889361,1.069976
176,5280.297,278.9048,25,0,0,0.4361331,0.84129
177,5310.297,278.8815,25,0,0,0.4984192,1.122628
178,5340.296,278.8583,25,0,0,0.4560276,0.9948804
179,5370.297,278.835,25,0,0,0.4627231,0.8287804
180,5400.296,278.8117,25,0,0,0.453022,1.042501
181,5430.296,278.7885,25,0,0,0.4498498,0.9738168
182,5460.296,278.7652,25,0,0,0.435521,0.9756009
183,5490.297,278.7419,25,0,0,0.4462821,1.004049
184,5520.297,278.7187,25,0,0,0.4853931,1.132575
185,5550.296,278.6954,25,0,0,0.4841942,0.9798908
186,5580.296,278.6721,25,0,0,0.4621966,0.8893678
187,5610.296,278.6489,25,0,0,0.4586498,0.8055066
188,5640.296,278.6256,25,0,0,0.4651833,0.9740778
189,5670.296,278.6024,25,0,0,0.4831042,0.8880966
190,5700.296,278.5791,25,0,0,0.4819769,1.136219
191,5730.296,278.5558,25,0,0,0.4851223,1.029397
192,5760.296,278.5326,25,0,0,0.4092107,1.0725
193,5790.296,278.5093,25,0,0,0.4326139,0.8118051
194,5820.296,278.4861,25,0,0,0.4940521,0.9064269
195,5850.296,278.4628,25,0,0,0.4675195,0.8847108
196,5880.296,278.4395,25,0,0,0.4515419,0.986994
197,5910.296,278.4163,25,0,0,0.4897178,0.872811
198,5940.296,278.393,25,0,0,0.4875593,1.049929
199,5970.296,278.3697,25,0,0,0.4540589,0.9507953
200,6000.296,278.3465,25,0,0,0.4921784,0.8516002
201,6030.296,278.3232,25,0,0,0.4168603,1.131771
202,6060.297,278.2999,25,0,0,0.4539736,1.052256
203,6090.296,278.2767,25,0,0,0.4465069,1.110879
204,6120.297,278.2534,25,0,0,0.4938146,0.857072
205,6150.296,278.2301,25,0,0,0.4936121,1.143388
206,6180.296,278.2069,25,0,0,0.4976906,0.9730382
207,6210.296,278.1836,25,0,0,0.4936093,0.9917473
208,6240.296,278.1603,25,0,0,0.4821117,0.850263
209,6270.296,278.1371,25,0,0,0.4669008,0.6833751
210,6300.297,278.1138,25,0,0,0.4557264,0.993966
211,6330.296,278.0905,25,0,0,0.4693637,0.9416916
212,6360.297,278.0673,25,0,0,0.4791195,0.9065028
213,6390.296,278.044,25,0,0,0.4534589,1.040743
214,6420.296,278.0208,25,0,0,0.4873491,1.09674
215,6450.297,277.9975,25,0,0,0.4388528,1.102995
216,6480.296,277.9742,25,0,0,0.4944697,0.8198069
217,6510.296,277.951,25,0,0,0.4815898,0.8986704
218,6540.296,277.9277,25,0,0,0.4689112,0.9319078
219,6570.296,277.9044,25,0,0,0.4686143,0.9725728
220,6600.297,277.8812,25,0,0,0.4942075,1.137462
221,6630.296,277.8579,25,0,0,0.4912994,1.035876
222,6660.296,277.8347,25,0,0,0.4734531,1.173122
223,6690.296,277.8114,25,0,0,0.485217,0.9666107
224,6721.085,277.7881,25,0,0,0.4637775,0.8099751
225,6751.085,277.7649,25,0,0,0.4917813,0.8708388
226,6781.085,277.7416,25,0,0,0.493801,1.032923
227,6811.085,277.7183,25,0,0,0.4901815,1.041258
228,6841.085,277.6951,25,0,0,0.4909108,0.9613035
229,6871.085,277.6718,25,0,0,0.4746984,0.8544819
230,6901.085,277.6485,25,0,0,0.458027,0.8471428
231,6931.086,277.6253,25,0,0,0.472144,0.8663871
232,6961.086,277.602,25,0,0,0.475783,1.166499
233,6991.085,277.5788,25,0,0,0.4534881,0.8444203
234,7021.085,277.5555,25,0,0,0.4479794,0.8512581
235,7051.085,277.5322,25,0,0,0.4275102,0.8325536
236,7081.085,277.509,25,0,0,0.4882016,1.007967
237,7111.086,277.4857,25,0,0,0.466333,1.133463
238,7141.085,277.4624,25,0,0,0.4680615,0.8736899
239,7171.085,277.4392,25,0,0,0.4792384,1.021255
240,7201.085,277.4159,25,0,0,0.4650974,0.9940039
241,7231.086,277.3926,25,0,0,0.4642668,1.00771
242,7261.085,277.3694,25,0,0,0.4186259,0.7865791
243,7291.085,277.3461,25,0,0,0.4627042,0.9057085
244,7321.086,277.3228,25,0,0,0.4478746,1.093167
245,7351.085,277.2996,25,0,0,0.4639636,0.9867644
246,7381.086,277.2763,25,0,0,0.4902648,0.9859608
247,7411.086,277.2531,25,0,0,0.472473,1.04132
248,7441.085,277.2298,25,0,0,0.4423045,0.9715265
249,7471.085,277.2065,25,0,0,0.4871907,0.9436861
250,7501.086,277.1833,25,0,0,0.4808685,0.8226365
251,7531.086,277.16,25,0,0,0.460152,1.030626
252,7561.085,277.1367,25,0,0,0.4773297,0.9778631
253,7591.086,277.1135,25,0,0,0.4441725,1.043548
254,7621.086,277.0902,25,0,0,0.4753777,1.020796
255,7651.085,277.067,25,0,0,0.4577911,1.134874
256,7681.086,277.0437,25,0,0,0.4750342,0.922354
257,7711.085,277.0204,25,0,0,0.4968077,0.8944883
258,7741.085,276.9972,25,0,0,0.4480259,1.116443
259,7771.085,276.9739,25,0,0,0.4991127,0.9855603
260,7801.085,276.9506,25,0,0,0.4483943,0.8249593
